year,region,unemployment_rate,ci_lower,ci_upper,weighted_numerator,weighted_denominator,effective_n,unweighted_n
2010,1,8.8005404437163,8.150707366363681,9.496826024287218,110555.73555883333,1256238.0261290832,6810.259670523473,7430
2010,3,6.651994490231426,6.20857200485486,7.124680932567745,173141.56734733333,2602851.9356351667,11376.682258736331,11807
2010,4,6.240507820175025,5.817700703006463,6.691859573665133,97052.20732441667,1555197.2711364166,11774.223276682182,13163
2010,5,9.494739269648143,8.763066788948853,10.280618999483693,101684.08895766667,1070951.8826148333,5737.061966328234,6301
2010,7,6.893664965126202,6.3228659778828415,7.511860977549959,94120.28492841667,1365315.6253539168,6983.5679964044575,7410
2010,8,8.870346220592332,8.13345594911933,9.666973394243291,65934.14054675,743309.6624085,5285.94979390668,6330
2010,10,6.903821092155761,6.077017392155984,7.833732561809187,29583.056817083332,428502.65703866666,3207.404350488453,4078
2010,11,6.938249519270495,6.240677431336334,7.707385283971793,45559.81716966667,656647.14195025,4619.172581025003,7808
2010,12,8.1990331582551,7.358848084249833,9.125695706733127,43059.59839308333,525178.97613,3709.881537063989,4359
2010,14,5.204306526813716,4.644315321147255,5.827692435494703,40556.886676166665,779294.7334521667,5425.0288927685015,6183
2010,15,7.980143333357794,7.468344483738136,8.523784445269873,51908.16053683333,650466.5188136667,10134.731457513177,10670
2010,17,6.121807934792243,5.509823177694486,6.79687728382047,46638.08274616667,761835.11869275,5339.975875554134,5818
2010,18,7.957134656635184,7.367229363348144,8.589894471210435,105390.96452208333,1324483.8634746666,7533.563280079743,7966
2010,19,7.832392896304554,7.1121509398904035,8.618805445823066,51225.85993366667,654025.6676581666,4892.143862047615,5718
2010,20,7.5377504675022315,6.925245847965238,8.199655654197795,86815.96995483333,1151749.05734975,6600.009160527306,7236
2010,22,7.741582793790698,7.206875591936926,8.312408256541548,137704.70755383334,1778766.8390536667,8985.183233589238,10117
2010,24,7.584919741616012,6.854605133009087,8.386039328184966,42191.002867166666,556248.5076233334,4598.540714828179,5685
2010,25,10.081795997199976,9.408249486321939,10.797814985083107,127316.784379,1262838.3317254167,7217.029452684013,9249
2010,26,49.65525863306587,47.188016217356875,52.12418110303212,89016.26851141667,179268.56281066666,1572.6668701915055,2393
2010,27,10.26325411169072,9.361340422493173,11.241285312953558,52425.714437083334,510809.86465458333,4006.9851921449854,4972
2010,28,6.559253588838752,5.9222224732646485,7.259520150832399,47056.774704166666,717410.511224,5274.079325403205,5946
2010,29,6.662503648849792,5.996987307783612,7.396064842690018,37603.879105416665,564410.63431025,4889.378258407586,6320
2010,30,6.958492141257213,6.230577978782372,7.764406293031851,13255.778688583334,190497.8610235,4235.702200203146,5316
2010,32,8.888105373443635,8.312290475969549,9.499675745698662,125875.15804116667,1416220.3613974168,8830.03090429021,9428
2010,33,8.63109559935467,7.929652209752419,9.388260484208313,63517.2996555,735912.3638979166,5700.131200036903,6741
2010,34,5.997248673258751,5.405891505313942,6.64874830961674,21441.421256083333,357520.96376608335,5617.303189172642,6350
2010,36,5.761104426939926,5.281664071176211,6.281179674550594,101153.81059533334,1755805.8854535,8360.492141817975,8864
2010,37,12.13476704295264,11.154808568510632,13.188036544189286,55290.64467875,455638.2869406667,3964.394685189282,4534
2010,38,8.191357643381144,7.563134808651055,8.866757589648282,47554.13533125,580540.3377750834,6804.806749153848,7724
2010,40,2.647924659871036,2.4100587848410253,2.9085675149155756,74335.523135,2807312.6196355,15968.517245229836,16275
2010,41,5.1828913569089945,4.655168663338538,5.7668197533703305,49873.792517,962277.4062303334,6122.336792139117,6750
2010,42,4.496126414715831,4.001691613101844,5.048439140315494,27810.073540166668,618534.0663275,6036.501543226123,7034
2010,44,5.566209129834979,4.724949468727527,6.546959381151741,5678.563116583333,102018.50099641667,2443.500367161192,4521
2010,45,1.7829515132121239,1.630837326271186,1.94897283947688,114755.10663008333,6436243.822656916,26633.38448744944,27423
2010,46,3.3099480556069727,3.021987403417414,3.6243225668888197,130533.06424400001,3943658.9955809168,13576.749794716503,14926
2010,47,8.568400424002316,7.632566638465126,9.60704305679351,41831.70364516667,488209.01889675,3092.3470093461788,4422
2010,49,5.611986899627783,5.0323733658528065,6.253962301108343,19199.84022275,342121.97152533336,5464.715873763665,6286
2010,50,7.664733924386896,7.093256010483687,8.278151328338257,109501.86626825,1428645.36914775,7751.5786049843255,8569
2010,52,8.129453221856565,7.466457948034173,8.84569234725443,85476.26524258334,1051439.2900715,6037.944643756194,6552
2010,53,7.243318853809313,6.628968779468196,7.909781552020097,76984.05652175,1062828.49168325,6299.737894367414,6796
2010,54,8.91863764479631,8.169693033929352,9.728966635499905,35475.70370125,397770.43438858335,5137.934419848237,5935
2010,56,6.439668208263755,5.706693422051067,7.259539126873863,44122.214372083334,685162.8522640833,3847.5433192362693,4500
2010,57,8.321381644989778,7.819324084395632,8.852579194598345,116695.49623325,1402357.2191705834,10984.954455615938,12109
2010,58,9.53020735499313,8.60770353878626,10.540175480104617,33760.863851166665,354251.0943739167,3551.049533283614,4201
2010,60,7.725957074361116,7.228831485973422,8.254228131745577,167072.00747708333,2162476.5173950833,10424.256130587284,10797
2010,61,8.443193888032264,7.616453017107849,9.350591730497406,48297.86410183334,572033.1043243334,3954.620069035769,4739
2010,63,6.267890956403645,5.697149141361548,6.891631341566629,85812.35374658334,1369078.5998584167,6335.767162690693,6954
2010,64,8.8762823551762,7.94745279608744,9.90198849674143,25571.295419000002,288085.64662308333,3257.5260223208074,4139
2010,65,8.412905246078656,7.928498733714869,8.924038915132606,193888.74028208334,2304658.5526736667,11950.674602987432,12414
2010,66,7.43551579088958,6.658894068157187,8.294665293457001,40838.106134333335,549230.3060450833,3958.6960925403746,4979
2010,68,7.8333657394953295,7.088910930147593,8.648723327865099,43391.980897416666,553937.890052,4565.27110215987,4992
2010,69,7.733399691670052,6.86511307946234,8.701245559851314,41776.74473033333,540211.8912246667,3257.8423090517035,4051
2010,70,5.8125614853725205,5.255286458700499,6.424923092211292,46992.46122158333,808463.8990889167,6158.974418733341,6943
2010,71,6.8569343681801955,6.327826633808571,7.426776282459595,129778.17966666666,1892655.99899725,8133.418719161224,12148
2010,73,8.759172119194037,8.011543090676055,9.569311351163323,58798.93520266667,671284.1625045834,5064.929183043124,6438
2010,75,7.476248115048913,6.9657510727394945,8.020932285027353,139876.64719166668,1870947.0985869167,9552.576579507857,10337
2010,76,11.11995129396151,10.329234728783693,11.963122797957377,58864.0912205,529355.6569125,5690.802722116926,6458
2010,77,4.518850566244597,3.8235735151630084,5.333545291550108,1478.73306125,32723.654822666667,2922.2574424189565,3747
2010,78,7.512918470776627,6.904217041857684,8.17057532361449,50915.17109616667,677701.63211825,6663.953896247494,7831
2010,79,9.309091699408151,8.371478026428845,10.339868695139186,19065.068157,204800.51945575,3351.8234959366787,4022
2010,80,8.918035217828383,8.438044079633464,9.422520445569122,181923.54190966667,2039950.9249075002,12882.097876764376,13358
2010,81,10.362094093413528,9.361009810444411,11.45670420461533,49337.78900433333,476137.241754,3252.315394447044,3678
2010,82,14.823279219825425,13.808963935220712,15.898356613711275,188507.06615625002,1271696.1163635834,4443.9937438341885,5079
2010,83,12.729189393342674,11.438150208362304,14.142679257546794,48220.36270575,378817.2303490833,2334.639390235969,2829
2010,84,12.229011178491817,10.966942122174398,13.614109906876697,12265.47515575,100298.17600725,2354.869179620396,3047
2010,85,14.780660889674305,13.45517143438862,16.212265799618603,21967.32275975,148622.06043233332,2546.0913727285706,3024
2010,86,9.322807358890998,8.435086570222229,10.293450616450508,32485.1446435,348448.09500991664,3764.9744619438457,4541
2010,87,10.079393851396013,9.154663691559797,11.086133823126442,52077.897793250006,516676.8811800834,3736.03700388876,4533
2010,88,10.489959763013863,9.591040287271777,11.462448659056832,39369.30272558334,375304.61140941666,4122.225919544004,4596
2010,89,5.390320471791962,4.737060607555063,6.127872582407258,25018.751255083334,464142.18571991666,4062.161151732367,4673
2010,90,9.715915316193724,8.566642420871881,11.000820406304552,36777.17149183333,378525.03130133334,2278.0600127724674,2944
2010,91,10.25377327190101,9.13994439480574,11.48617847477383,23921.8618405,233298.13529283332,2571.436401287769,3038
2010,92,6.234644539480376,5.771749871823528,6.732011098573425,126284.60545650001,2025530.1590461668,9750.355585213152,11193
2010,93,21.684394722463075,19.981841149459186,23.489430093223557,27565.555913166667,127121.62947583334,2118.9400309232283,2476
2010,94,9.32009089506185,8.550169220332478,10.151645997932086,77529.64749225,831855.057694,5067.114364017994,5904
2010,95,9.101055741939575,8.190877702759439,10.101245768805377,24261.024989833335,266573.74350575,3487.0626799892684,3899
2010,96,43.282384070865334,40.91311043122721,45.68278309229964,238313.01943608333,550600.49152075,1654.3194038478268,2270
2010,97,9.536372274618847,8.66148763799453,10.489479104306024,63397.517497,664797.0074085001,3970.4618317564887,4483
2010,98,8.850875013641506,8.020993664054316,9.757510271191814,43689.77645591667,493620.98536675,4115.106314331031,4938
2010,99,9.343561397198716,8.26168902006337,10.550811862969473,8170.435068833333,87444.54840616666,2487.503502465172,3027
2011,1,8.46624944462533,7.818746830959557,9.162044802041132,103217.59754850001,1219165.5611331668,6603.7844509141,7211
2011,3,5.92311958552859,5.504422336471469,6.371517862414858,153208.23037233335,2586613.83009475,11397.751915714949,11842
2011,4,5.984590263599961,5.561936079512034,6.43717290603133,90442.58201733333,1511257.7141234167,11295.329520055777,12572
2011,5,8.002270156899636,7.334972120557569,8.724559843397302,85012.99071491667,1062360.9181904166,5863.687495062798,6400
2011,7,5.993797411730156,5.464395627627487,6.5709237182760685,82415.50960733334,1375013.2669823333,7080.483598554279,7491
