year,age_5group,unemployment_rate,ci_lower,ci_upper,weighted_numerator,weighted_denominator,effective_n,unweighted_n
2011,60-64,3.881915722547704,3.581487031489873,4.206446062516371,96935.83883916667,2497113.429746167,14697.28727278907,19405
2011,65-69,3.1698609033564957,2.6544999554664916,3.7813905408407065,18289.359520916667,576976.72164575,3737.4188550345657,4814
2011,70-74,2.390683367296268,1.7677799320908454,3.2258681985871505,6320.268655166667,264370.7963014167,1719.2415121645981,2184
2012,15-19,28.177174413846018,26.88470942969033,29.506698601331443,199766.69797916667,708966.3961515,4520.351093000848,6354
2012,20-24,13.376716542610726,13.030378470479661,13.730806675502041,921988.86560025,6892490.116414667,36292.78717484646,48622
2012,25-29,6.074885423553549,5.875747319030071,6.280322299449531,659878.8605724167,10862408.334714167,53573.756094964156,71129
2012,30-34,4.828694478514251,4.638672645809771,5.026090227135263,482029.33479008335,9982601.652163334,47060.35401125829,62637
2012,35-39,4.415225042682456,4.2378212732962846,4.599698580087047,420525.2087065,9524434.307226416,49534.427800625126,64916
2012,40-44,3.7660966865148726,3.604494896826539,3.934647904037378,326116.6500401667,8659274.500516167,51109.90198503511,66233
2012,45-49,4.105485913854419,3.940451392294555,4.277124671713377,376744.10881741665,9176602.154352833,53386.703026044306,69481
2012,50-54,4.167651715788275,4.009326676153467,4.331946730918955,415690.4383903334,9974212.499945167,58979.00653150169,77188
2012,55-59,3.5616465035400218,3.380430212317711,3.752200078302643,232005.89920241665,6514006.905845917,38206.63418698213,50623
2012,60-64,2.733807707065928,2.4885459809215327,3.002497218134847,69906.235204,2557101.40195,15496.653520903901,20324
2012,65-69,3.257232471509983,2.7546279176444752,3.8479127072179042,20241.304273916667,621426.4548496667,4073.570441259687,5304
2012,70-74,2.8468815852849954,2.094688502300003,3.8585385234428315,5766.390933583334,202551.13396316668,1392.39743184695,1752
2013,15-19,26.109982925958864,24.855837381700194,27.40433097516758,179087.03788141668,685894.8869835,4561.670910602192,6303
2013,20-24,12.628757391195734,12.275387947468072,12.990792830843088,880442.7258907501,6971728.877336416,33127.974177891556,44826
2013,25-29,6.009735220864487,5.809015933740742,6.216932209090617,647802.1943326667,10779213.568072667,52171.08541401392,70104
2013,30-34,4.957869000539781,4.766939408704297,5.15603183723222,492170.62189016666,9927059.8282565,47838.446436173166,64288
2013,35-39,4.418073162324364,4.242922756373388,4.6001065429831085,420072.124305,9508039.112779167,50875.64084328354,67157
2013,40-44,4.085820158374633,3.9196868427026623,4.258682817339627,352779.7846254167,8634246.514798999,52416.557818596775,67546
2013,45-49,4.09041666061725,3.9220010338781472,4.265743174110343,375217.47784875,9173086.973299418,51034.40591852014,66120
2013,50-54,4.380941109557396,4.2125906511203235,4.555699482873239,434330.53056841664,9914091.965785334,54692.18352959623,72227
2013,55-59,3.7873581374996426,3.6002641731804874,3.9837729693283648,248169.89880825,6552585.9926225,38087.883485893704,50665
2013,60-64,3.310024685484756,3.0460110984056814,3.5960729420649615,86245.03283675,2605570.6839575833,16275.741722649516,21509
2013,65-69,2.8657865980242323,2.4314855055166738,3.374977301044524,19769.955192666668,689861.3876656666,4831.652773018367,6280
2013,70-74,2.6126831224020313,1.8585410409363714,3.6614177533643746,4550.728082166666,174178.33962133335,1232.0107493868038,1634
2014,15-19,27.97359436303536,26.647093757549868,29.339716437630127,161551.58876583332,577514.5898995,4267.253587602991,5741
2014,20-24,12.373199388326825,12.001466168520237,12.754777783853594,790316.6912578334,6387326.886556417,29359.129647510243,39999
2014,25-29,5.621449556688821,5.42483855394383,5.824747417651052,617422.5012351667,10983332.590799667,50985.23846831072,68136
2014,30-34,4.760975109429289,4.573647884717064,4.955576430730204,485813.69658083335,10204079.7402755,47777.72126490306,64792
2014,35-39,4.141229277717455,3.97261536055874,4.316678143531134,396056.6178446667,9563745.238055583,51544.337815166946,67520
2014,40-44,3.7617161714074205,3.6028433297289384,3.9273093317445746,334984.00357558334,8905084.496320501,52857.480239945195,68515
2014,45-49,3.8729852438302452,3.7056879781135548,4.047517858555029,340006.5588935,8778927.299946167,48976.526318647615,63868
2014,50-54,4.113815447305677,3.946877432976463,4.287499136091778,407960.26330008334,9916834.348202834,52257.76396685012,69843
2014,55-59,3.6957090523401286,3.5098813143045082,3.890978546164857,246811.92048066668,6678337.417399917,37674.74944522847,50881
2014,60-64,3.263251255709358,3.004457119429795,3.5435226962585125,89119.663031,2731008.3118815003,16714.950942749318,22036
2014,65-69,2.9346670375840307,2.5343341005857862,3.3960346396312944,21054.24987375,717432.3221036667,5920.645496655312,7566
2014,70-74,2.4387137979515248,1.6873199493663313,3.512761057214195,3381.7693985833334,138670.2039995,1128.6723554346133,1453
2015,15-19,32.35115257410512,30.818676805614874,33.92246596294076,197724.83762791666,611183.2868241667,3487.4806158244546,5783
2015,20-24,14.311579816086969,13.90366543894897,14.729414406494723,840274.2036475,5871288.9453545,27635.805549597048,38313
2015,25-29,6.155816002517926,5.949147552017521,6.369177744313831,689263.19672125,11196942.800748417,50322.85729593784,68330
2015,30-34,5.116756693979644,4.925769158664218,5.314735459054066,543164.0177475833,10615396.6317505,49319.99335790987,66468
2015,35-39,4.458922078488483,4.284460477255264,4.64014329820836,441251.646581,9895926.387899084,51757.71160241829,68894
2015,40-44,4.078418993146953,3.916389971040273,4.246855195019542,374268.54723175004,9176804.733908918,55061.21644938253,71907
2015,45-49,3.9912656883126285,3.8243034570305907,4.165201505591804,343959.78322975,8617812.245297167,50684.75930501508,65609
2015,50-54,4.497870411069047,4.322028551672824,4.680516425346548,444891.1176950833,9891150.189659249,51374.92934214837,68442
2015,55-59,3.89333078250595,3.7070447180372543,4.088580600819943,273655.05992283334,7028816.07574825,39514.61793111467,53339
2015,60-64,3.1588147611730726,2.9122719615680976,3.425492619389959,92346.28101408333,2923447.1786433333,17869.310805162095,23719
2015,65-69,2.955767991113894,2.587495404973611,3.374640195930019,23939.518336,809925.4883323333,7139.235297194124,8991
2015,70-74,1.8009187857336462,1.1600424012313242,2.7858740030028963,2225.07563125,123552.24726825,1072.393217930352,1367
2016,15-19,29.029407669963582,27.527051823121916,30.579161472550364,177727.19401,612231.55508575,3395.362815498536,5801
2016,20-24,14.898147303413847,14.474597709550194,15.331868842577576,806181.3446116666,5411285.901482083,26508.751302181816,36401
2016,25-29,6.270797024423288,6.059296792128223,6.489169730545403,703394.9875839166,11216994.982366,48882.17447078245,66547
2016,30-34,5.123168574116724,4.934393738741137,5.318761302274071,559730.1002479166,10925467.162563916,50566.768975806626,68633
2016,35-39,4.585630072805438,4.407347680441027,4.77076427986027,460843.29014025,10049726.707638916,50919.14458953028,67886
2016,40-44,4.032426082604741,3.8719056002095567,4.199310669952069,380275.79363183334,9430446.729632167,55489.442708776834,72247
2016,45-49,3.967565710815927,3.8023931264265918,4.139604491109821,337836.33426208334,8514952.46420525,51504.068655073184,66291
